content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"Belanja di shopee serba lama, estimasi proses lama, pengiriman lama. Seller nya proses nya serba slow. Ga seperti toko hijau yg serba gercep.",5,Positif,belanja di shopee serba lama estimasi proses lama pengiriman lama seller nya proses nya serba slow ga seperti toko hijau yg serba gercep,belanja shopee serba estimasi proses pengiriman seller nya proses nya serba slow ga toko hijau yg serba gercep,"['belanja', 'shopee', 'serba', 'estimasi', 'proses', 'pengiriman', 'seller', 'nya', 'proses', 'nya', 'serba', 'slow', 'ga', 'toko', 'hijau', 'yg', 'serba', 'gercep']",belanja shopee serba estimasi proses kirim seller nya proses nya serba slow ga toko hijau yg serba gercep
Minta tolong dong aplikasi yg sekarang lelet nya minta ampun 😮‍💨padahal mau lihat riviuw/komtar orang ko loading nya lama dan saat login akun juga loading nya super lama padahal jaringan bagus .,5,Positif,minta tolong dong aplikasi yg sekarang lelet nya minta ampun padahal mau lihat riviuwkomtar orang ko loading nya lama dan saat login akun juga loading nya super lama padahal jaringan bagus ,tolong aplikasi yg lelet nya ampun lihat riviuwkomtar orang ko loading nya login akun loading nya super jaringan bagus,"['tolong', 'aplikasi', 'yg', 'lelet', 'nya', 'ampun', 'lihat', 'riviuwkomtar', 'orang', 'ko', 'loading', 'nya', 'login', 'akun', 'loading', 'nya', 'super', 'jaringan', 'bagus']",tolong aplikasi yg lelet nya ampun lihat riviuwkomtar orang ko loading nya login akun loading nya super jaring bagus
"Bintang 2untuk mu,baru aja dowlod,trus daptar alamat sudah pas no hp sudah aktip,data"" yg lain jugak lengkap,masalah nya knapa transaksi COD ndak bisa??.sya baru satu kali blanja pas saya mau blanja lagi tiba"" trans saksi COD ndak bisa,padahal sya tidak pernah buat planggaran di aplikasi shopee,udah gitu nunggu 60 hari jugak,kecewa dngan aplikasi ini",2,Negatif,bintang untuk mubaru aja dowlodtrus daptar alamat sudah pas no hp sudah aktipdata yg lain jugak lengkapmasalah nya knapa transaksi cod ndak bisasya baru satu kali blanja pas saya mau blanja lagi tiba trans saksi cod ndak bisapadahal sya tidak pernah buat planggaran di aplikasi shopeeudah gitu nunggu  hari jugakkecewa dngan aplikasi ini,bintang mubaru aja dowlodtrus daptar alamat pas no hp aktipdata yg jugak lengkapmasalah nya knapa transaksi cod ndak bisasya kali blanja pas blanja trans saksi cod ndak bisapadahal sya planggaran aplikasi shopeeudah gitu nunggu jugakkecewa dngan aplikasi,"['bintang', 'mubaru', 'aja', 'dowlodtrus', 'daptar', 'alamat', 'pas', 'no', 'hp', 'aktipdata', 'yg', 'jugak', 'lengkapmasalah', 'nya', 'knapa', 'transaksi', 'cod', 'ndak', 'bisasya', 'kali', 'blanja', 'pas', 'blanja', 'trans', 'saksi', 'cod', 'ndak', 'bisapadahal', 'sya', 'planggaran', 'aplikasi', 'shopeeudah', 'gitu', 'nunggu', 'jugakkecewa', 'dngan', 'aplikasi']",bintang mubaru aja dowlodtrus daptar alamat pas no hp aktipdata yg jugak lengkapmasalah nya knapa transaksi cod ndak bisasya kali blanja pas blanja trans saksi cod ndak bisapadahal sya planggaran aplikasi shopeeudah gitu nunggu jugakkecewa dngan aplikasi
"Hai shopee Aplikasi sangat bermasalah. Jaringan baik baik saja, tapi aplikasi susah di buka. Sudah di hapus data mau log in kembali tapi tidak bisa dengan alasan jaringan buruk. Sudah di update juga tapi tetap tidak bisa dibukaa. Mohon perbaiki🙏",1,Negatif,hai shopee aplikasi sangat bermasalah jaringan baik baik saja tapi aplikasi susah di buka sudah di hapus data mau log in kembali tapi tidak bisa dengan alasan jaringan buruk sudah di update juga tapi tetap tidak bisa dibukaa mohon perbaiki,hai shopee aplikasi bermasalah jaringan aplikasi susah buka hapus data log in alasan jaringan buruk update dibukaa mohon perbaiki,"['hai', 'shopee', 'aplikasi', 'bermasalah', 'jaringan', 'aplikasi', 'susah', 'buka', 'hapus', 'data', 'log', 'in', 'alasan', 'jaringan', 'buruk', 'update', 'dibukaa', 'mohon', 'perbaiki']",hai shopee aplikasi masalah jaring aplikasi susah buka hapus data log in alas jaring buruk update dibukaa mohon baik
"Ada orang dalem kah? ko sering ngeleg?padahal sinya bagus,tolong sistemnya diperbaiki!!!,jangan pilih kasih lah bagi rata jaringan,shopee makin pelit tambah pelit,di shope game ga ada event yg menarik semuanya tambah pelit",1,Negatif,ada orang dalem kah ko sering ngelegpadahal sinya bagustolong sistemnya diperbaikijangan pilih kasih lah bagi rata jaringanshopee makin pelit tambah pelitdi shope game ga ada event yg menarik semuanya tambah pelit,orang dalem kah ko ngelegpadahal sinya bagustolong sistemnya diperbaikijangan pilih kasih jaringanshopee pelit pelitdi shope game ga event yg menarik pelit,"['orang', 'dalem', 'kah', 'ko', 'ngelegpadahal', 'sinya', 'bagustolong', 'sistemnya', 'diperbaikijangan', 'pilih', 'kasih', 'jaringanshopee', 'pelit', 'pelitdi', 'shope', 'game', 'ga', 'event', 'yg', 'menarik', 'pelit']",orang dalem kah ko ngelegpadahal sinya bagustolong sistem diperbaikijangan pilih kasih jaringanshopee pelit pelitdi shope game ga event yg tarik pelit
"Kenapa sih banyak bgt biaya lain2nya sekarang? gak mau kayk dlu klo gratis ongkir ya gratis ongkir, lah skrg banyak bgt biaya lain2nya malah lebih mahal dari pada yg di beli. Bisa tambah bayarnya pakai gopay gak sih, pake shoppepay ribet banget, kalo top up pakai mobile banking mahal bgt biaya adminnya.",2,Negatif,kenapa sih banyak bgt biaya lainnya sekarang gak mau kayk dlu klo gratis ongkir ya gratis ongkir lah skrg banyak bgt biaya lainnya malah lebih mahal dari pada yg di beli bisa tambah bayarnya pakai gopay gak sih pake shoppepay ribet banget kalo top up pakai mobile banking mahal bgt biaya adminnya,sih bgt biaya gak kayk dlu klo gratis ongkir ya gratis ongkir skrg bgt biaya mahal yg beli bayarnya pakai gopay gak sih pake shoppepay ribet banget kalo top up pakai mobile banking mahal bgt biaya adminnya,"['sih', 'bgt', 'biaya', 'gak', 'kayk', 'dlu', 'klo', 'gratis', 'ongkir', 'ya', 'gratis', 'ongkir', 'skrg', 'bgt', 'biaya', 'mahal', 'yg', 'beli', 'bayarnya', 'pakai', 'gopay', 'gak', 'sih', 'pake', 'shoppepay', 'ribet', 'banget', 'kalo', 'top', 'up', 'pakai', 'mobile', 'banking', 'mahal', 'bgt', 'biaya', 'adminnya']",sih bgt biaya gak kayk dlu klo gratis ongkir ya gratis ongkir skrg bgt biaya mahal yg beli bayar pakai gopay gak sih pake shoppepay ribet banget kalo top up pakai mobile banking mahal bgt biaya adminnya
"Saya beli cod. Pertama lupa ganti alamat jadi dibatalkan . Kedua lupa make voucher toko jadi dibatalkan . Ketiga pake pengiriman hemat , harusnya reguler jadi dibatalkan . Lalu gabisa lagi cod ... Katanya sudah mencapai batas cod . SAYA BAHKAN BELUM PERNAH PAKE COD",4,Positif,saya beli cod pertama lupa ganti alamat jadi dibatalkan  kedua lupa make voucher toko jadi dibatalkan  ketiga pake pengiriman hemat  harusnya reguler jadi dibatalkan  lalu gabisa lagi cod  katanya sudah mencapai batas cod  saya bahkan belum pernah pake cod,beli cod lupa ganti alamat dibatalkan lupa make voucher toko dibatalkan ketiga pake pengiriman hemat reguler dibatalkan gabisa cod mencapai batas cod pake cod,"['beli', 'cod', 'lupa', 'ganti', 'alamat', 'dibatalkan', 'lupa', 'make', 'voucher', 'toko', 'dibatalkan', 'ketiga', 'pake', 'pengiriman', 'hemat', 'reguler', 'dibatalkan', 'gabisa', 'cod', 'mencapai', 'batas', 'cod', 'pake', 'cod']",beli cod lupa ganti alamat batal lupa make voucher toko batal tiga pake kirim hemat reguler batal gabisa cod capai batas cod pake cod
"Bintang saya kurangi Soalnya sekarang aplikasinya lemott Udah di update tetep ajja lemoot. Padahal saya mau byar tagihan Sampai saat ini gak bisa Nanti kalo sampai kena denda saya yang di salahin,padahal dari aplikasi ya yang gak bisa",2,Negatif,bintang saya kurangi soalnya sekarang aplikasinya lemott udah di update tetep ajja lemoot padahal saya mau byar tagihan sampai saat ini gak bisa nanti kalo sampai kena denda saya yang di salahinpadahal dari aplikasi ya yang gak bisa,bintang kurangi aplikasinya lemott udah update tetep ajja lemoot byar tagihan gak kalo kena denda salahinpadahal aplikasi ya gak,"['bintang', 'kurangi', 'aplikasinya', 'lemott', 'udah', 'update', 'tetep', 'ajja', 'lemoot', 'byar', 'tagihan', 'gak', 'kalo', 'kena', 'denda', 'salahinpadahal', 'aplikasi', 'ya', 'gak']",bintang kurang aplikasi lemott udah update tetep ajja lemoot byar tagih gak kalo kena denda salahinpadahal aplikasi ya gak
Saya sudah bbrapa tahun bertahan member platinum di shopee karena saya langganan keras belanja di shopee tapi akhir 2 ini shopee sering nge lag & sulit melakukan transaksi. Itu cukup mengganggu bisnis saya. Coba tingkatkan lagi kualitas aplikasi nya.,5,Positif,saya sudah bbrapa tahun bertahan member platinum di shopee karena saya langganan keras belanja di shopee tapi akhir  ini shopee sering nge lag  sulit melakukan transaksi itu cukup mengganggu bisnis saya coba tingkatkan lagi kualitas aplikasi nya,bbrapa bertahan member platinum shopee langganan keras belanja shopee shopee nge lag sulit transaksi mengganggu bisnis coba tingkatkan kualitas aplikasi nya,"['bbrapa', 'bertahan', 'member', 'platinum', 'shopee', 'langganan', 'keras', 'belanja', 'shopee', 'shopee', 'nge', 'lag', 'sulit', 'transaksi', 'mengganggu', 'bisnis', 'coba', 'tingkatkan', 'kualitas', 'aplikasi', 'nya']",bbrapa tahan member platinum shopee langgan keras belanja shopee shopee nge lag sulit transaksi ganggu bisnis coba tingkat kualitas aplikasi nya
"bagus dari segi estimasi, pengiriman, kurir juga ok. Recommended buat belanja aman,. sya berharap limit paylater bisa naik.karna belanja barang yg harganya lumayan tinggi berat buat bayar cash",5,Positif,bagus dari segi estimasi pengiriman kurir juga ok recommended buat belanja aman sya berharap limit paylater bisa naikkarna belanja barang yg harganya lumayan tinggi berat buat bayar cash,bagus segi estimasi pengiriman kurir ok recommended belanja aman sya berharap limit paylater naikkarna belanja barang yg harganya lumayan berat bayar cash,"['bagus', 'segi', 'estimasi', 'pengiriman', 'kurir', 'ok', 'recommended', 'belanja', 'aman', 'sya', 'berharap', 'limit', 'paylater', 'naikkarna', 'belanja', 'barang', 'yg', 'harganya', 'lumayan', 'berat', 'bayar', 'cash']",bagus segi estimasi kirim kurir ok recommended belanja aman sya harap limit paylater naikkarna belanja barang yg harga lumayan berat bayar cash
