content,score,Label
Saya downgrade bintangnya. Semenjak ada reel2 gitu. Aplikasi jadi lemoooot bangettt!! Berat bgt buka shopee. Masa harus beralih ke toko biru si -_-,1,Negatif
"Sedihhh kecewa knp skrg shopee g bs COD lgi tpi selama ini sy selalu tdk menolak,lancar2 aja,biasanya pihak pengantarnya klo misal g ada orang / sy d luar selalu tlp,dn sy selalu tanya utk pembayaran lewat via transfer dn itu baik2 aja,sy sdh k toko lainnya yg ada CODnya pun tetap g bs,bahkn td sdh mncoba lgi tetap g bs",3,
"Top dah , walaupun ada satu toko yg tidak jujur pas di minta pertanggung jawabban, malah jawabnya sudah sesuai . Pesanan 2 di kirim hanya 1 . Yg pasti terimakasih Shopee sdhembantu lebih mudah berbelanja .",5,Positif
"Saya suka belanja di aplikasi ini, tapi yang paling males kalo beli barang COD pasti nyampenya lama kaya sengaja di lama lamain gitu, tapi giliran udah dibayar duluan, paketnya cepet secepat angin. Seharusnya jangan begitu di imbangin aja.",4,Positif
"Applikasi nya masih lemot jelek, promo dan voucher nya nggak ada yang sesuai dengan yang ingin saya gunakan. Voucher promo shoope food nya pun tidak tepat. Tidak berguna lagi.",1,Negatif
"Makin kesini makin berat aja nih apk, pdahal spek hp sama jaringan masih mumpuni di apk berat lainnya, sama promo nya udh gak seasik seperti dulu, mungkin bisa d tingkatkan lg, terimakasih shopee, untuk sekarang move on dulu ke marketplace sebelah.",1,Negatif
"Aplikasinya semakin lama semakin mengecewakan saja, terlalu sering error, loadingnya semakin parah meskipun sinyal internet yg dimiliki konsumen sangat bagus (terbukti aplikasi lain gak bermasalah), dan kuota internet juga banyak Meskipun sudah mengikuti semua arahan mulai dari aplikasi versi terbaru, Clear Cache, logout dan login kembali, cek secara berkalapun juga gak berpengaruh Fitur2 yg gak penting selalu ditambahkan padahal itu hanya menambah beban sehingga aplikasinya semakin berat saja",1,Negatif
"Sering bgt orderan dateng ga sesuai dgn yg di order.. parah nya lagi pesen nya 2 produk yg dateng cuma 1 produk, tolong ditingkatkan lagi.. Sbg penyedia harus nya Shopee bisa menyaring toko yg dengan penilaian buruk",1,Negatif
"Ini kenapa ya aplikasi semakin di update malah tambah lemot, apalagi setiap masuk ke pembayaran nunggunya lama bgt. Malah bagusan versi yg lama",2,Negatif
"Mohon ditingkatkan lagi, berikan fitur pembayaran lewat uang elektronik seperti OVO, LINKAJA ATAU DANA agar mempermudah pengguna untuk melakukan transaksi pembayaran dan tingkatkan keamanannya agar tidak ada kecurangan lagi saat pengundian hadiah",1,Negatif
"To up Spay sekarang ada biayanya dulu ngga gitu, aplikasinya juga makin berat dan lemot banget dari kemarin beli pulsa ngga bisa loading mulu padahal sudah update aplikasi",2,Negatif
"Selama belanja di shopee barang yg di pesan tidak pernah mengecewakan ,kualitas barang sesuia dengan harga & pengiriman selalu cepat.",5,Positif
"Pelayanan cukup baik, ongkir gratis, mudah untuk dipakai, selama ini sy tdk menemukan kendala & semua cukup lancar. Terima kasih, Shopee.",5,Positif
Cok... Ini gw mau pake Kode Voucher Shopee kok Blank White ? aplikasimu kenapa cok... rusak ini lama kelamaan developer nya makan gaji buta kek nya ga di fix bug. loading makin lama lagi padahal jaringan stabil lancar buat buka aplikasi sebelah..,1,Negatif
"Kenapa sih jadi gini,padahal sebelumnya enak2 aja,kemarin sempet akun dinonaktifkan sementara,terus diaktifkan kembali limitnya dikurangin,sekarang sudah limit dikurangin,akun dinonaktifkan lagi,sebenarnya sistemya gimana sih",1,Negatif
"Sekarang hati2 dengan orng lain yg mempunyai kontak Anda , jika dia menghubungkan nomer kalian jadi kontak darurat nya , lalu dia tidak membayar tagihannya , kalian akan dibatasi akun anda , dan akan merugikan kalian untuk memakai aplikasi ini , sangat merugikan sekali untuk orng lain yg pembayarannya baik2 saja lalu tiba2 dibatasi gara2 orng yg tidak bertanggung jawab , dan bgitu lah peraturan dari shope",1,Negatif
"Sama seperti banyak pengguna yg lain, komplain terkait terlalu berat dan lemotnya aplikasi Shopee. Tp dr admin hnya suruh clear cache, log out and bla bla bla...tp dr Shopee sendiri jg tdk ad utk pembenahan aplikasi👎👎👎",1,Negatif
"Kecewa, pembayaran Spinjam saya tiba tiba tidak berhasil, padahal sebelumnya sudah jelas ada notifikasi bahwa pembayaran spinjam bulan Juni telah berhasil. Jika pembayaran gagal mengapa juga uang tidak kembali ke rekening asal ? Sungguh di sayangkan, tidak ada solusi",1,Negatif
"Saya kasih bintang 1 buat aplikasi ini, saya tidak bisa login ke akun saya gara"" harus melewati verifikasi dengan nomor hp sedangkan nomor hp sudah hilang, padahal kalau mau verifikasi kenapa ga melalui Gmail aja, Gmail saya juga masih nyangkut ke akun shopee itu, emang dasar ngeribetin banget mana di akun itu ada saldo shopeepay nya lagi, saya udah hubungin CS tapi gak ada respon!!!!",1,Negatif
"Min boleh kasih saran untuk jasa pengirimannya boleh dikembalikan seperti dulu jadi dari kita bisa memilih sendiri jasa pengirimannya, tidak seperti sekarang hanya jasa pengiriman melalui JNT saja tapi sebaik jasa2 pengiriman yang lain2 juga dimasukkan ke aplikasinya, karena sudah keseringan ditempat saya melalui jasa pengiriman JNT respon kurir krg baik, dan sudah main konfirmasi barang diterima di aplikasi oleh petugas JNT padahal barangnya belum ketrima oleh saya, Trims🙏",3,
"Aplikasi sering bilang gagal memuat, padahal saya punya kuota dan barang² yang biasa di branda yg direkomendasi bilang tidak dapat ditemukan. Semakin kesini shopee semakin ga masuk akal",3,
"Oi tolong lah hp lama ku rusak , aku mau masukin akun ke hp yang baru , tapi disuruh scane"" barcode dulu , ya mana bisa lah hp lama jelas rusak gimana mau di scane , pada pihak shopee tolong lah jangan dibikin ribet lah pengguna😐",1,Negatif
"Ada apa dgn shopee.. Jaringan bagus masuk apk lain lancar gk ada masalah,, giliran shopee sllu keluar sendiri.. Kdg lgi asyik pilih2 barang tetiba keluar,, kdg bikin kesel.. Tolong perbaiki lgi dong min biar enk belanja nya..",1,Negatif
"Makin lama mikin Tidak benar, S-Paylater aku di nonaktifkan,, Punya saldo S-Pay mau Bayar barang malah kesalahan terus.. Aku pengguna lama dari tahun 2019 Tapi masih merasa kurang puas dengan Shopee.. Yang pertama S-Paylater di nonaktifkan.",2,Negatif
"Sebelum nya mohon maaf🙏, saya kecewa sama Shopee apa lagi sama kurirnya yang selalu minta ketemuan di jalan kan harus nya sampe rumah tuh paket nya ini malah ngajak ketemuan di jalan sama pake yang saya pesan itu selalu lama sampe nya. Mending kalo lama ini udah mah lama terus di balikin ke tokok nya saya kecewa + kesel",1,Negatif
"Shopee sekarang ngapa jdi lemot bgt si, gambarnya kaga ada yg muncul sama sekali, padahal sinyalnya bagus, buka aplikasi yg lain cepet",2,Negatif
"Aplikasi kadang sangat lambat , padahal HP yg di pake tergolong lumayan ngebut, tolong di perbaiki aplikasi nya agar bsa lebih baik lagi. Untuk yg lainnya dari pay later, Shopee pay, pemesanan barang,dan ekspedisi udh bagus, cmn ya ada 1 ekspedisi yg di luar nalar aja klo ngirim paket bisa lebih dari jadwal dengan alasan yg di luar nalar juga,gausah disebut ,udh tau lah siapa, tolong di tegor min ekspedisi yg sperti itu.",5,Positif
"Voucher Tidak bisa digunakan saat cek out kecuali tanpa voucher baru bisa. Untuk apa ada vouver??Versi Tidak mau diupdate, penginstalan gagal trus. Hari ini sistem Shopee sedang bermasalah!!",1,Negatif
